book_id_csv,book_id
457,1401212220
458,1401212484
459,140125051
460,140128468
461,1401300464
462,1401301886
463,1401301940
464,1401301959
465,140131671
466,1401359345
467,140137009
468,140137343
469,140139397
470,140139400
471,140139974
472,140140824
473,140143459
474,140144188
475,140150749
476,140152741
477,140153195
478,140154078
479,140156046
480,140157182
481,140158766
482,140159959
483,140178139
484,1401850685
485,140186123
486,140187073
487,140188266
488,140189440
489,1401903096
490,1401917178
491,140192077
492,140193707
493,140196099
494,140230270
495,140231579
496,140234446
497,140236236
498,140244913
499,140247742
500,140250913
501,140252622
502,1402580355
503,140259104
504,140260021
505,140260897
506,140264922
507,1402713185
508,1402713193
509,1402714548
510,1402714572
511,1402714599
512,140271570
513,140271791
514,1402718616
515,140272022X
516,1402726007
517,1402726627
518,1402732988
519,140274219
520,140275010
521,140275657
522,140276335
523,140276343
524,140276904
525,140280464
526,140280499
527,140281703
528,140283358
529,140283366
530,140284125
531,140285970
532,140286012
533,140286276
534,140286373
535,140286802
536,140288481
537,140295941
538,140296034
539,140296158
540,140296611
541,140297979
542,140298517
543,140299149
544,140299939
545,140299963
546,140307370
547,140320431
548,1403356203
549,140345825
550,140363335
551,140364757
552,140367438
553,1403904561
554,1403967210
555,140396792X
556,1403969736
557,140424385
558,140430369
559,140433392
560,140435190
561,140436073
562,140436146
563,140436588
564,140437509
565,140437851
566,140437916
567,140439056
568,140440461
569,140440933
570,140441123
571,140441220
572,140441379
573,140441522
574,140441735
575,140442057
576,140442243
577,140442324
578,140442413
579,140442758
580,140443339
581,140443940
582,140444424
583,140444432
584,140445145
585,140445226
586,140445501
587,140445773
588,140446044
589,140446168
590,140447202
591,140447261
592,140447601
593,140447806
594,140447970
595,140448004
596,140448071
597,140448144
598,140448152
599,140448926
600,140448942
601,140449086
602,140449094
603,140449124
604,140449140
605,140449280
606,140449329
607,140449493
608,140449779
609,140503447
610,1405151412
611,1405153601
612,1405161604
613,1405201711
614,1405203943
615,1405203951
616,1405228180
617,140568190
618,1405823518
619,140620478
620,140621628
621,1406917893
622,1406922900
623,1406934852
624,1406942359
625,1406957240
626,140714545
627,140714553
628,140771972
629,140817786
630,141000198
631,141000589
632,141001828
633,141001879
634,141002980
635,141005343
636,141007451
637,141007478
638,141010312
639,1410103277
640,141010371
641,141011114
642,141013451
643,141013958
644,141014083
645,141016701
646,141019999
647,1411665309
648,1411677315
649,1411683056
650,141180366
651,141180943
652,141181281
653,141182490
654,141182806
655,141182865
656,141183020
657,141183225
658,141183357
659,141183535
660,141183713
661,141183721
662,141184272
663,141184841
664,141184884
665,141185112
666,141185139
667,141185163
668,141185325
669,141185368
670,141185910
671,141185937
672,141186070
673,141186356
674,141186690
675,141187069
676,141187190
677,141187425
678,141187883
679,1412040558
680,141303352
681,141304316
682,141307412
683,141309407
684,141310685
685,141310693
686,141311355
687,141311401
688,141314575
689,1413480942
690,1413900208
691,1413901476
692,141430577X
693,1414305818
694,1414306342
695,141439335
696,141439513
697,141439637
698,141439904
699,141439963
700,141441119
701,1416500332
702,1416500391
703,1416501622
704,1416502041
705,1416503595
706,1416505490
707,1416505512
708,1416505520
709,1416507779
710,1416507817
711,1416508953
712,1416509372
713,1416509380
714,1416509879
715,1416509887
716,1416510877
717,1416513418
718,1416520392
719,1416520864
720,1416521070
721,1416521100
722,1416524517
723,1416524800
724,141652729X
725,1416532358
726,1416532811
727,1416535527
728,1416537805
729,1416903437
730,1416908161
731,141690817X
732,1416909052
733,1416914633
734,1416916326
735,1416939210
736,141693961X
737,141694740X
738,1419154079
739,1419542206
740,1419950584
741,1419953966
742,1419954482
743,142000205
744,142000213
745,142001619
746,142001805
747,142002003
748,142002267
749,142002801
750,142002887
751,142003298
752,142003344
753,142003441
754,142003565
755,142003719
756,142003808
757,142004103
758,142004200
759,142004456
760,1420927329
761,1421500493
